datetime,open,high,low,close,volume
2024-07-29,19122.42969,19224.58984,18974.50977,19059.49023,4897230000
2024-07-26,18990.19922,19142.67969,18899.31055,19023.66016,5281560000
2024-07-25,19041.15039,19227.19922,18721.71094,18830.58008,6114350000
2024-07-24,19475.66016,19482.55078,19005.4707,19032.39062,6735560000
2024-07-23,19783.33008,19904.59961,19736.2207,19754.33984,4938000000
2024-07-22,19751.01953,19861.7207,19638.36914,19822.86914,5093620000
2024-07-19,19687.80078,19784.48047,19479.38086,19522.61914,4992930000
2024-07-18,19936.24023,19947.98047,19575.78906,19705.08984,5977260000
2024-07-17,20041.31055,20080.26953,19793.75,19799.14062,6007280000
2024-07-16,20441.5293,20477.0,20266.50977,20398.61914,5812930000
2024-07-15,20401.01953,20585.16992,20304.5293,20386.88086,5450350000
2024-07-12,20226.23047,20526.08008,20217.99023,20331.49023,5845930000
2024-07-11,20661.41016,20672.09961,20165.0,20211.35938,6366620000
2024-07-10,20533.26953,20690.9707,20479.93945,20675.38086,5228240000
2024-07-09,20504.16992,20543.90039,20395.57031,20453.01953,4839140000
2024-07-08,20393.89062,20455.38086,20363.36914,20439.53906,5286260000
2024-07-05,20224.13086,20407.0,20201.5,20391.9707,4851000000
2024-07-03,19995.2793,20186.63086,19995.2793,20186.63086,3713960000
2024-07-02,19746.2207,20014.91992,19741.81055,20011.89062,4526550000
2024-07-01,19720.10938,19827.75,19577.53906,19812.2207,5189990000
2024-06-28,19817.0,20017.71094,19665.84961,19682.86914,8960940000
2024-06-27,19740.51953,19850.81055,19701.33984,19789.0293,5382060000
2024-06-26,19671.07031,19763.55078,19654.17969,19751.05078,5294310000
2024-06-25,19555.83984,19712.41992,19523.50977,19701.13086,4848280000
2024-06-24,19648.23047,19723.19922,19472.5293,19474.61914,5503210000
2024-06-21,19722.36914,19801.9707,19643.51953,19700.42969,8589160000
2024-06-20,19962.9707,19979.92969,19685.0293,19752.30078,6289300000
2024-06-18,19904.42969,19940.5,19837.85938,19908.85938,5796180000
2024-06-17,19681.85938,19977.83984,19623.71094,19902.75,6061200000
2024-06-14,19557.2207,19664.58984,19534.61914,19659.80078,4973820000
2024-06-13,19609.05078,19639.44922,19473.71094,19576.91992,4916020000
2024-06-12,19358.25977,19556.90039,19347.2793,19465.17969,5560630000
2024-06-11,19031.40039,19212.63086,18966.56055,19210.17969,5009220000
2024-06-10,18945.31055,19089.83008,18940.71094,19074.66992,5207110000
2024-06-07,18992.58008,19113.88086,18958.67969,19000.94922,4755650000
2024-06-06,19053.00977,19071.78906,18978.85938,19021.18945,4960580000
2024-06-05,18791.2793,19035.86914,18768.25,19035.05078,5325000000
2024-06-04,18598.0,18697.94922,18521.84961,18654.83984,4917350000
2024-06-03,18666.7207,18707.2207,18392.57031,18600.9707,5422040000
2024-05-31,18550.80078,18574.56055,18189.7793,18536.65039,6674090000
2024-05-30,18683.25,18705.25977,18487.75977,18538.66016,6659290000
2024-05-29,18708.07031,18814.82031,18706.61914,18736.75,6652480000
2024-05-28,18855.15039,18875.19922,18755.93945,18869.43945,6293380000
2024-05-24,18669.35938,18851.99023,18664.78906,18808.34961,5836040000
2024-05-23,18907.14062,18907.53906,18554.89062,18623.39062,7752800000
2024-05-22,18733.53906,18756.68945,18606.16016,18705.19922,7277340000
2024-05-21,18603.99023,18721.17969,18589.91016,18713.80078,6245090000
2024-05-20,18559.2207,18703.83008,18549.83984,18674.18945,6861320000
2024-05-17,18571.82031,18590.36914,18462.25,18546.23047,9587280000
2024-05-16,18589.98047,18669.5,18553.30078,18557.96094,11932600000
2024-05-15,18412.81055,18607.5293,18359.32031,18596.65039,8538990000
2024-05-14,18187.50977,18339.58008,18175.30078,18322.76953,7270240000
2024-05-13,18228.40039,18233.5,18147.57031,18198.60938,4452750000
2024-05-10,18171.15039,18247.60938,18099.73047,18161.17969,4402110000
2024-05-09,18095.80078,18138.01953,18012.61914,18113.46094,4505120000
2024-05-08,17987.69922,18135.33984,17987.69922,18085.00977,4530190000
2024-05-07,18106.33008,18156.32031,18061.60938,18091.44922,5041870000
2024-05-06,17950.98047,18094.46094,17937.2793,18093.57031,4460130000
2024-05-03,17848.66016,17926.98047,17784.7793,17890.80078,4887310000
2024-05-02,17474.91992,17575.80078,17290.64062,17541.53906,4901610000
2024-05-01,17382.7793,17667.85938,17284.36914,17318.55078,5277790000
2024-04-30,17720.34961,17768.86914,17440.68945,17440.68945,5229400000
2024-04-29,17801.14062,17820.0,17671.0293,17782.7207,4972520000
2024-04-26,17566.2207,17772.7793,17533.08008,17718.30078,4694400000
2024-04-25,17205.2793,17474.46094,17172.41992,17430.5,4743640000
2024-04-24,17613.66016,17653.66016,17435.33008,17526.80078,4735870000
2024-04-23,17297.24023,17513.31055,17277.25,17471.4707,4951670000
2024-04-22,17161.10938,17305.15039,17010.25,17210.89062,4616730000
2024-04-19,17334.71094,17362.2793,16973.93945,17037.65039,5316010000
2024-04-18,17514.76953,17590.81055,17376.49023,17394.31055,4932540000
2024-04-17,17785.82031,17788.53906,17459.57031,17493.61914,4991470000
2024-04-16,17691.44922,17817.73047,17660.89062,17713.66016,5001860000
2024-04-15,18143.25,18152.08008,17676.34961,17706.83008,4910550000
2024-04-12,18117.66992,18166.49023,17952.08984,18003.49023,4552740000
2024-04-11,18085.10938,18337.15039,17998.25,18307.98047,4714750000
2024-04-10,17957.96094,18040.83008,17932.41992,18011.66016,5308250000
2024-04-09,18188.86914,18210.01953,17973.07031,18169.90039,4869190000
2024-04-08,18130.43945,18178.66016,18050.68945,18100.18945,4386700000
2024-04-05,17940.2793,18202.96094,17912.85938,18108.46094,4578130000
2024-04-04,18331.01953,18362.28906,17875.75,17878.7793,5368700000
2024-04-03,18054.43945,18238.66992,18045.41992,18160.18945,5151500000
2024-04-02,18076.42969,18135.57031,18002.26953,18121.7793,4710280000
2024-04-01,18280.82031,18391.58008,18211.2793,18293.19922,4798390000
2024-03-28,18263.41016,18308.32031,18231.38086,18254.68945,5174450000
2024-03-27,18338.18945,18344.08984,18168.19922,18280.83984,4768930000
2024-03-26,18329.28906,18378.69922,18207.88086,18210.53906,5144260000
2024-03-25,18215.53906,18337.34961,18189.2793,18277.06055,4636940000
2024-03-22,18293.15039,18386.25,18267.49023,18339.43945,4339930000
2024-03-21,18438.24023,18464.69922,18317.09961,18320.38086,5134740000
2024-03-20,18067.69922,18249.11914,18003.24023,18240.10938,5298380000
2024-03-19,17902.51953,18039.82031,17809.15039,18032.19922,4758740000
2024-03-18,18024.24023,18124.32031,17973.08984,17985.00977,5025040000
2024-03-15,17926.91992,17930.4707,17764.99023,17808.25,8261950000
2024-03-14,18114.68945,18142.90039,17913.63086,18014.81055,5450980000
2024-03-13,18151.75977,18163.74023,18030.40039,18068.4707,4839000000
2024-03-12,18063.01953,18228.36914,17919.33008,18219.10938,5100330000
2024-03-11,17959.67969,18003.05078,17873.33008,17951.68945,4917620000
2024-03-08,18312.78906,18416.73047,17995.38086,18018.44922,5411790000
2024-03-07,18161.73047,18337.94922,18101.42969,18297.99023,5072790000
2024-03-06,18083.50977,18142.88086,17941.64062,18017.57031,5511370000
2024-03-05,18088.71094,18097.5,17804.5,17897.86914,6356800000
2024-03-04,18290.09961,18313.42969,18218.25,18226.48047,5725470000
2024-03-01,18069.28906,18333.25977,18064.43945,18302.91016,5457910000
2024-02-29,17991.66992,18068.51953,17866.25977,18043.84961,6265340000
2024-02-28,17895.0293,17931.00977,17840.35938,17874.5,5581690000
2024-02-27,17962.58008,17987.53906,17871.06055,17971.05078,5423020000
2024-02-26,17970.21094,18014.10938,17926.66016,17933.33008,5417630000
2024-02-23,18052.58984,18091.61914,17902.7793,17937.60938,5077910000
2024-02-22,17857.75977,18034.80078,17808.25977,18004.69922,5653930000
2024-02-21,17412.78906,17482.13086,17319.43945,17478.91016,4845740000
2024-02-20,17591.16992,17657.08008,17399.41016,17546.09961,5595700000
2024-02-16,17853.58984,17864.16016,17663.40039,17685.98047,5223800000
2024-02-15,17815.32031,17864.58984,17722.31055,17845.7207,6049100000
2024-02-14,17728.90039,17815.17969,17619.91992,17807.63086,5092660000
2024-02-13,17519.80078,17717.66992,17478.23047,17600.41992,5599860000
2024-02-12,17942.2793,18041.44922,17859.66016,17882.66016,5458490000
2024-02-09,17820.98047,17987.90039,17798.81055,17962.41016,5797260000
2024-02-08,17757.59961,17814.11914,17728.55078,17783.16992,5675850000
2024-02-07,17674.58984,17784.16992,17637.73047,17755.07031,4567580000
2024-02-06,17664.43945,17680.61914,17475.42969,17572.73047,4759640000
2024-02-05,17634.68945,17655.76953,17469.61914,17613.03906,4831020000
2024-02-02,17415.93945,17682.28906,17378.36914,17642.73047,4800690000
2024-02-01,17216.99023,17356.75977,17175.83008,17344.71094,5046920000
2024-01-31,17269.98047,17375.32031,17128.74023,17137.24023,5875610000
2024-01-30,17556.49023,17578.46094,17443.76953,17476.71094,4719240000
2024-01-29,17438.0293,17603.94922,17414.61914,17596.26953,4979310000
2024-01-26,17432.86914,17514.75977,17395.53906,17421.00977,4510530000
2024-01-25,17589.26953,17631.33984,17430.36914,17516.99023,5281570000
2024-01-24,17562.32031,17665.25977,17481.9707,17499.30078,4983210000
2024-01-23,17346.94922,17410.85938,17286.01953,17404.21094,5207680000
2024-01-22,17403.61914,17450.30078,17309.86914,17330.38086,5456240000
2024-01-19,17060.14062,17317.21094,17041.84961,17314.0,5604950000
2024-01-18,16894.33008,16996.98047,16818.13086,16982.28906,5587440000
2024-01-17,16705.50977,16749.10938,16561.49023,16736.2793,5181740000
